merchant_name,has_logo,impact,primary_category,secondary_category,other_categories,corrected_merchant_name,other_comments
The Culpeper,no,7,Drinks,EatingOut,,,
THE MARQUIS,no,7,Drinks,EatingOut,,,
The Pasty Shop,no,7,Lunch,,,,
Vinoteca,no,7,EatingOut,Drinks,,,
Zen Internet,no,7,Expenses,,,,
Absurd Bird,no,6,EatingOut,,,,
Cojean,no,6,EatingOut,,,,
Cote Restaurants,no,6,EatingOut,,,,
Echst.net,no,6,Bills,,,,
Hammersmith Apollo,no,6,Leisure,,,,
Look Mum No Hands,no,6,Coffee,,,,
Neon Leisure Ltd,no,6,Drinks,,,,
Sewell Retail,no,6,PersonalCare,,Gym,,
The Barley Mow,no,6,Drinks,EatingOut,,,
The Loop London,no,6,Drinks,EatingOut,,,
The North Face,no,6,Shopping,,,,
United Taxis,no,6,Transport,,,,
W & G Foyle Ltd,no,6,Shopping,,,,
Anchor Bankside,no,5,Drinks,EatingOut,,,
AS NATURE INTENDED,no,5,Shopping,,,,
Bubble Tea,no,5,Drinks,,,,
Calendar Club,no,5,Shopping,,,,
Creativevents,no,5,Leisure,,,,
Dirty Burger,no,5,EatingOut,,,,
Euphorium Bakery,no,5,Groceries,,,,
Haringey Council,no,5,Bills,,,,
JTF Wholesale,no,5,Shopping,,,,
Michael Kors,no,5,Shopping,,,,
Penderel's Oak,no,5,Drinks,EatingOut,,,
SEARCYS,no,5,Shopping,,,,
Silvios,no,5,Lunch,,,,
The Anthologist,no,5,Drinks,EatingOut,,,
The Folly London,no,5,Drinks,EatingOut,,,
The Ginger Pig,no,5,Groceries,,,,
The Ten Bells,no,5,Drinks,EatingOut,,,
Trading Post,no,5,Drinks,EatingOut,,,
Two Chairmen,no,5,Drinks,EatingOut,,,
Wahaca Canary Wharf,no,5,EatingOut,,,,
Warehouse Fashions,no,5,Shopping,,,,
Western Union,no,5,Expenses,,,,
AA DRIVETECH,no,4,Expenses,,,,
All Star Lanes,no,4,Leisure,,,,
Brittany Ferries,no,4,Travel,,,,
Burton's Food Store,no,4,Groceries,,,,
CVS Pharmacy,no,4,PersonalCare,,,,
Laithwaites Wine,no,4,Drinks,Groceries,,,
Lillywhites,no,4,Shopping,,,,
Parcelforce Worldwide,no,4,Expenses,,,,
Pet Protect,no,4,Bills,,Pets,,
Pint Shop,no,4,Drinks,,,,
Rola Wala,no,4,EatingOut,,,,
The Telegraph,no,4,Bills,,,,
WOKIT,no,4,EatingOut,,,,
MetLife,no,3,Bills,,Insurance,,
The Cross Keys,no,3,Drinks,EatingOut,,,
The Queens Arms,no,3,Drinks,EatingOut,,,
12BET,no,,Expenses,Investments,Gambling,,
32Red,no,,Expenses,Investments,Gambling,,
365online.com,no,,Expenses,Investments,Gambling,,
99p Stores Ltd,no,,Groceries,,,,
Abbey Life Assurance Company,no,,Bills,,Insurance,,
Abel & Cole,yes,,Groceries,,,,
Abokado,no,,Lunch,,,,
Addison Lee,yes,,Transport,,,,
Admiral Insurance Company,yes,,Bills,,Insurance,,
Affect Energy,yes,,Bills,Housing,Utilities,,
Affinity Water,yes,,Bills,Housing,Utilities,,
Ageas Protect Limited,no,,Bills,,Insurance,,
Agent Provocateur,no,,Shopping,,,,
Agoda,no,,Travel,,,,
Agria Pet Insurance,no,,Bills,,Pets,,
AIG,yes,,Bills,,Insurance,,
All Saints,yes,,Shopping,,,,
ALLIANCE LEICESTER,yes,,Bills,,,,
allpay Limited,yes,,Bills,,,,
Anglian Water,yes,,Bills,Housing,Utilities,,
Ann Summers,yes,,Shopping,,,,
APCOA,no,,Transport,,,,
Applegreen,yes,,Transport,,,,
Aquascutum,no,,Shopping,,,,
ARAMARK,yes,,Leisure,,,,
Arriva Trains Wales,no,,Transport,,,,
Asda,yes,,Groceries,,,,
Asda Petrol,no,,Expenses,,,,
Audible,yes,,Shopping,,,,
Automobile Association,no,,Bills,,,,
Aviva,yes,,Bills,,Insurance,,
Avro Energy,yes,,Bills,Housing,Utilities,,
B & Q,yes,,Shopping,,,,
b&m retail,yes,,Shopping,,,,
Bakers,no,,Shopping,,,,
Bannatyne's Health Club,no,,PersonalCare,,Gym,,
Barburrito,yes,,Lunch,,,,
Barclaycard,yes,,Bills,,,,
Bargain Booze,yes,,Drinks,,,,
Bargain Buys,no,,Shopping,,,,
Barratts,no,,Housing,,,,
Be At One Group,no,,Drinks,,,,
Bella Italia,no,,EatingOut,,,,
Ben Sherman,yes,,Shopping,,,,
Ben's Cookies,yes,,Lunch,,,,
benugo,no,,Lunch,,,,
Bet365,yes,,Expenses,Investments,Gambling,,
Betfair,no,,Expenses,Investments,Gambling,,
Betfred.com,yes,,Expenses,Investments,Gambling,,
Better Energy,no,,Bills,Housing,Utilities,,
Big Easy,yes,,EatingOut,,,,
Bills Restaurant,no,,EatingOut,,,,
Birleys Sandwiches,yes,,Lunch,,,,
Birmingham Midshires,no,,Bills,,,,
Black Horse,yes,,Drinks,EatingOut,,,
Blacklock,no,,EatingOut,,,,
Bloom and Wild,yes,,Shopping,,,,
Blues Kitchen,yes,,EatingOut,,,,
BMI Regional,no,,Travel,,,,
Boden,yes,,Shopping,,,,
Boodles,no,,Shopping,,,,
Booker Limited,yes,,Groceries,,,,
Boots,yes,,PersonalCare,Shopping,,,
Boots Opticians,yes,,PersonalCare,,,,
Boylesports,yes,,Expenses,Investments,Gambling,,
BP,yes,,Transport,,,,
Bravissimo,yes,,Shopping,,,,
Brewers Fayre,yes,,Drinks,,,,
Bright Grey,no,,Bills,,Insurance,,
Brighter World Energy,no,,Bills,Housing,Utilities,,
Bristol Energy,no,,Bills,Housing,Utilities,,
Bristol Water,no,,Bills,Housing,Utilities,,
British Gas,yes,,Bills,Housing,Utilities,,
British Heart Foundation,no,,Charity,,,,
Brooklands Museum,no,,Leisure,,,,
BT Group,yes,,Bills,Housing,Utilities,,
Budgens,yes,,Groceries,,,,
Budget Insurance Services,no,,Bills,,Insurance,,
Bulb Energy,yes,,Bills,Housing,Utilities,,
Bupa,yes,,Bills,,Insurance,,
Busaba Eathai,yes,,EatingOut,,,,
Buyagift,no,,Shopping,,,,
Byron Hamburgers,no,,EatingOut,,,,
Cafe Brera,no,,Coffee,,,,
Cafe Rouge,yes,,EatingOut,,,,
Caffe Concerto,yes,,Coffee,,,,
Caffe Nero,yes,,Coffee,,,,
Camelot,yes,,Bills,,,,
Camper,yes,,Shopping,,,,
Cancer Research,yes,,Charity,,,,
Capital One,yes,,Bills,,,,
Card Factory,yes,,Shopping,,Stationary,,
Cardiff Energy,no,,Bills,Housing,Utilities,,
Cards Galore,yes,,Shopping,,Stationary,,
CARDTRONICS,yes,,Bills,,,,
Carluccio's,no,,EatingOut,,,,
cath kidston,yes,,Shopping,,,,
Cathay Pacific,no,,Travel,,,,
Caxton FX,yes,,Bills,,Insurance,,
CBS,yes,,Bills,,,,
Center Parcs,yes,,Leisure,,,,
Central England Co-operative,no,,Groceries,,,,
CeX,yes,,Shopping,Housing,,,
Charles Tyrwhitt,yes,,Shopping,,,,
Chelmsford Star Co-op,no,,Groceries,,,,
Chilangos,yes,,EatingOut,,,,
Chiltern Railways,no,,Transport,,,,
Chipotle,yes,,Lunch,,,,
Churchill,yes,,Bills,,Insurance,,
Cineworld Cinemas,yes,,Leisure,,,,
Clintons,no,,Shopping,,Stationary,,
Co-op Bank,yes,,Bills,,,,
Co-op Energy,yes,,Bills,Housing,Utilities,,
Co-operative Group,yes,,Groceries,,,,
Coast,yes,,Shopping,,,,
Coco di Mama,yes,,Lunch,,,,
Coles,yes,,Shopping,,,,
Company of Cooks,no,,EatingOut,,,,
Compassion,yes,,Charity,,,,
Concur Expense Management,no,,Bills,,,,
Costco Wholesale,yes,,Groceries,,,,
Costcutter,yes,,Groceries,,,,
Counter Solutions,yes,,Bills,,,,
Countrywide Home Loans,no,,Bills,,Loans,,
Coutts & Co,yes,,Bills,,,,
Creation Group,yes,,Bills,,,,
CRUSSH,yes,,Lunch,,,,
Curzon Cinemas,yes,,Leisure,,,,
Dairy Crest,no,,Groceries,,,,
Daligas,no,,Bills,Housing,Utilities,,
David Lloyd,yes,,PersonalCare,,Gym,,
Debenhams,yes,,Shopping,,,,
