merchant_name,has_logo,impact,primary_category,secondary_category,other_categories,corrected_merchant_name,other_comments
Euronics,yes,,Shopping,,,,
Eurospin,yes,,Shopping,,,,
Falconeri,yes,,Shopping,,,,
Famila,no,,Groceries,,,,
Farmacia,no,,PersonalCare,,,,
FastSpring,yes,,Expenses,,,,
Fastweb,no,,Expenses,,,,
Fazioli,no,,Shopping,,Music,,
Fazzini,yes,,Other,,,,Medical equipment
Feltrinelli,no,,Shopping,,,,
Fendi,no,,Shopping,,,,
Ferragamo,yes,,Shopping,,,,
Ferrari,no,,Transport,,,,
Ferrero,yes,,Groceries,,,,
Fiat,no,,Transport,,,,
Fila,yes,,Shopping,,,,
Fincantieri,no,,Transport,,,,
Findomestic,no,,Expenses,,,,
Fiorella Rubino,no,,Shopping,,,,
Fiorucci,no,,Shopping,,,,
Flavio Castellani,yes,,Shopping,,,,
FlixBus,no,,Transport,,,,
Flower Burger,no,,EatingOut,,,,
Food Court,no,,EatingOut,,,,
Foppapedretti,no,,Shopping,,,,
Forst,no,,Drinks,,,,
Franco Gioielli,no,,Shopping,,,,
Francorosso,no,,Travel,,,,
Fratelli Rossetti,no,,Shopping,,,,
Fratinardi,yes,,Shopping,,,,
Freddy,no,,Shopping,,,,
Frette,no,,Shopping,,,,
Gabel,no,,Shopping,,,,
Galbani,yes,,Groceries,,,,
Galbusera,yes,,Groceries,,,,
Gallo,no,,Shopping,,,,
Gamelife,yes,,Leisure,,Gaming,,
Gamestop,no,,Shopping,,Gaming,,
Garda Laser,yes,,Other,,Medical Equipment,,
Gardaland,no,,Leisure,,,,
Gas Jeans,no,,Shopping,,,,
Gas Natural,no,,Bills,Housing,Utilities,,
Gatwick Express,no,,Transport,,,,
Gaudì,no,,Shopping,,,,
Giacomini,no,,Housing,,,,
Gigante,yes,,Groceries,,,,
Giglio,no,,Shopping,,,,
Gilera,no,,Transport,,,,
Giochi Preziosi,no,,Shopping,,,,
Gioielli di Valenza,no,,Shopping,,,,
Giovanni Rana,yes,,Groceries,,,,
Giunti al Punto,no,,Shopping,,,,
Giuseppe Zanotti,yes,,Shopping,,,,
Glovo,yes,,Expenses,,,,
Golden Point,no,,Shopping,,,,
Goldoni,no,,Transport,,,,
Gotelli,yes,,Shopping,,,,
Grandvision,no,,PersonalCare,,,,
Green Network,no,,Bills,Housing,Utilities,,
Grillo Sport,no,,Shopping,,,,
Grom,no,,Groceries,,,,
Groupalia,no,,Travel,,,,
Gucci,yes,,Shopping,,,,
Happiness,no,,Shopping,,,,
Harmont&Bleine,no,,Shopping,,,,
Hera Comm,no,,Bills,Housing,Utilities,,Duplicate of 313
Hera Group,yes,,Bills,Housing,Utilities,,
Hoepli,yes,,Shopping,,,,
Hogan,no,,Shopping,,,,
Hotel Aurora,no,,Travel,,,,
Huel,no,,PersonalCare,,,,
I grandi viaggi,no,,Travel,,,,
IDrive,no,,Expenses,,,,
Il Laccio,no,,Shopping,,,,
Il Lanificio,no,,Shopping,,,,
Iliad Italia,yes,,Bills,Housing,Utilities,,
Imperial,no,,Shopping,,,,
Indesit,yes,,Housing,Shopping,,,
Indiegogo,no,,Investments,,,,
Innocenti,no,,Transport,,,,
Invicta,no,,Shopping,,,,
Invidiauomo,yes,,Shopping,,,,
IP,yes,,Transport,,,,
Iper,no,,Groceries,,,,
Iper Station,no,,Transport,,,,
Iperal,yes,,Groceries,,,,
Ipercoop,no,,Groceries,,,,
Jeckerson,no,,Shopping,,,,
Jiffy,no,,Bills,,,,
K-way,no,,Shopping,,,,
Kaidor,no,,Shopping,,,,
Kanada Ya,no,,EatingOut,,,,
Kappa,no,,Shopping,,,,
Kartell,yes,,Shopping,,,,
Kasanova,no,,Shopping,,,,
Kauppa,yes,,Leisure,,,,
Keropetrol,no,,Transport,,,,
Kinkao,no,,,,,,
Kokka,no,,Shopping,,,,
Krizia,no,,Shopping,,,,
L'erbolario,no,,Shopping,,,,
L'isola verde,no,,Leisure,,,,
La bottega del caffe,yes,,Coffee,,,,
La Gardenia,yes,,Shopping,,,,
La Perla,no,,Shopping,,,,
La Piadineria,no,,Lunch,,,,
La Piccola Dely,no,,EatingOut,,,,
La Sportiva,no,,Shopping,,,,
Lagostina,no,,Shopping,,,,
Lama optical,no,,PersonalCare,,,,
Lamborghini,no,,Transport,,,,
Landi Renzo,no,,Transport,,,,
Landini,no,,Transport,,,,
Langham Hotel,no,,Travel,,,,
Lanieri,no,,Shopping,,,,
Laura Biagiotti,yes,,Shopping,,,,
Lavazza,no,,Coffee,,,,
Lazzaroni,no,,Groceries,,,,
Legami,no,,Shopping,,Stationary,,
Legea,yes,,Shopping,,,,
Limoni,yes,,Travel,,,,
Lindt,yes,,Groceries,,,,
Liu Jo,no,,Shopping,,,,
Liviana Conti,yes,,Shopping,,,,
Loacker,no,,Groceries,,,,
Loriblu,no,,Shopping,,,,
Loro Piana,no,,Shopping,,,,
Lovable,no,,Shopping,,,,
Lucchini RS,no,,Transport,,,,
Luisa Spagnoli,no,,Shopping,,,,
Luxottica,no,,PersonalCare,,,,
Macron,no,,Shopping,,,,
Maggiora,no,,Transport,,,,
Magneti Marelli,no,,Transport,,,,
Maire Tecnimont,no,,Bills,Housing,Utilities,,
Malaguti,no,,Transport,,,,
Malìparmi,no,,Shopping,,,,
Mandarina Duck,no,,Shopping,,,,
Mangano,no,,Shopping,,,,
MangoPay,no,,Bills,,,,
Marella,no,,Shopping,,,,
Marina Rinaldi,no,,Shopping,,,,
Marni,yes,,Shopping,,,,
Martini,no,,Drinks,,,,
Martino Midali,no,,Shopping,,,,
Marville,no,,Shopping,,,,
Maserati,no,,Transport,,,,
Match Point,no,,Expenses,,Gambling,,
Max Mara,yes,,Shopping,,,,
Maxi Sport,no,,Shopping,,,,
McAfee,no,,Expenses,,,,
MCS,yes,,Housing,,,,
Mediaset,yes,,Bills,Leisure,,,
Mediaworld,no,,Shopping,,,,
Melegatti,no,,Groceries,,,,
Melluso,no,,Shopping,,,,
Mercantile Hotel,no,,Travel,,,,
Mercatone uno,no,,Shopping,,,,
Messagenet,no,,Bills,,,,
MFM Investment Ltd,yes,,Investments,,,,
Miche,no,,Shopping,,,,
Miriade,no,,Shopping,,,,
Miss Sixty,no,,Shopping,,,,
Missoni,no,,Shopping,,,,
Miu Miu,no,,Shopping,,,,
Mixerì,no,,Shopping,,,,
Modus profumerie,yes,,Shopping,,,,
ModusLink,no,,Bills,,,,
Momo,yes,,Transport,,,,
Moncler,yes,,Shopping,,,,
Mondadori,yes,,Bills,,,,
Mondial,yes,,Transport,,,,
Mondo Convenienza,no,,Shopping,,,,
MoneyMap,yes,,Bills,,,,
Montegrappa,no,,Shopping,,,,
Mood 54,no,,Shopping,,,,
Moreschi,yes,,Shopping,,,,
Morningstar,no,,Investments,,,,
Moschino,yes,,Shopping,,,,
Motivi,yes,,Shopping,,,,
Motta,no,,,,,,
MPreis,no,,Groceries,,,,
Mr & Mrs Italy,no,,Shopping,,,,
Mulino Bianco,no,,Groceries,,,,
Mumble Mumble,no,,Shopping,,,,
MV Agusta,no,,Transport,,,,
Nanarossa,yes,,Shopping,,,,
Napapijri,no,,Shopping,,,,
Naracamicie,no,,Shopping,,,,
Natuzzi,no,,Shopping,,,,
Nau!,no,,Shopping,,,,
Navigare,no,,Shopping,,,,
Neos,no,,Bills,,Insurance,,
Nero Giardini,no,,Shopping,,,,
Nolan,no,,Shopping,,,,
Nordica,yes,,Shopping,,,,
NS International,no,,Transport,,,,
Nuvolari,yes,,Shopping,,,,
Nyx,no,,Shopping,,Beauty,,
Obag,yes,,Shopping,,,,
Oddbins,yes,,Drinks,,,,
Old Wild West,no,,EatingOut,,,,
Olivetti,yes,,Shopping,,,,
Oltre,no,,Shopping,,,,
Optiontown,no,,Travel,,,,
Oregon,yes,,,,,,
Original Marines,no,,Shopping,,,,
Oroblu,no,,Shopping,,,,
OSCA,yes,,Shopping,,,,
OVS,yes,,Shopping,,,,
Oysho,yes,,Shopping,,,,
Pagani,no,,Transport,,,,
Pal Zileri,yes,,Shopping,,,,
Pam,no,,Groceries,,,,
Parah,yes,,Shopping,,,,
Parfois,yes,,Shopping,,,,
PARK GUELL,no,,Leisure,,,,
Parmalat,yes,,Groceries,,,,
Partridges,no,,,,,,
Pastiglie Leone,no,,Groceries,,,,
Patrizia Pepe,no,,Shopping,,,,
Pavesi,no,,Groceries,,,,
Peccati di moda,no,,Shopping,,,,
Peck,yes,,Groceries,,,,
Pellizzari,no,,Shopping,,,,
Pennyblack,no,,Shopping,,,,
Perlini,no,,Transport,,,,
Pernigotti,no,,Groceries,,,,
Peroni,yes,,Drinks,,,,
Pershing Square,no,,Investments,,,,
Perugina,no,,Groceries,,,,
Peuterey,yes,,Shopping,,,,
Piaggio,yes,,Transport,,,,
Piazza Italia,no,,Shopping,,,,
Pininfarina,no,,Transport,,,,
Pinko,yes,,Shopping,,,,
Piquadro,yes,,Shopping,,,,
Pirelli,yes,,Transport,,,,
Pittarello,yes,,Shopping,,,,
Pittarosso,yes,,Shopping,,,,
Pizzaiolo,no,,EatingOut,,,,
Pocher,no,,Shopping,,,,
Polini,no,,Transport,,,,
Pollini,no,,Shopping,,,,
Pomellato,yes,,Shopping,,,,
Poste Italiane,no,,Bills,,,,
Pozzoli market,no,,Groceries,,,,
Prada,no,,Shopping,,,,
Primadonna,no,,Shopping,,,,
Prénatal,yes,,Shopping,,,,
Puma,no,,Shopping,,,,
Pupa,yes,,Shopping,,Beauty,,
Q8,yes,,Transport,,,,
QC Terme,no,,Leisure,,,,
Quintessence,no,,Shopping,,,,
Reggiane,no,,Transport,,,,
Replay,no,,Shopping,,,,
Repower,yes,,Bills,Housing,Utilities,,
Retitalia,no,,Transport,,,,
Rifle,yes,,Shopping,,,,
Rinascente,no,,Shopping,,,,
Rinascimento,no,,Shopping,,,,
Roadhouse,no,,EatingOut,,,,
Roberto Cavalli,no,,Shopping,,,,
Roncato,no,,Shopping,,,,
Roots,yes,,,,,,
Rossopomodoro,no,,EatingOut,,,,
Rovagnati,yes,,Groceries,,,,
Saipem,no,,Bills,Housing,Utilities,,
Salini Impregilo,no,,Other,,Construction,,
Sammontana,yes,,Groceries,,,,
Samsonite,yes,,Shopping,,,,
San Carlo,no,,Groceries,,,,
San Pellegrino,no,,Drinks,,,,
Sandro Ferrone,no,,Shopping,,,,
Sarabanda,no,,Shopping,,,,
Satispay,no,,Bills,,,,
