merchant_name,has_logo,impact,primary_category,secondary_category,other_categories,corrected_merchant_name,other_comments
WWF,yes,,Bills,Leisure,,,
Xbox,yes,,Leisure,Shopping,Gaming,,
YO! Sushi,yes,,EatingOut,,,,
Yves Rocher,no,,Shopping,,Beauty,,
Zalando,yes,,Shopping,,,,
Zara,yes,,Shopping,,,,
Zooplus,yes,,Shopping,,Pets,,
Zurich Financial Services,no,,Bills,,Insurance,,
Ipercoop,no,,Groceries,,,,
Jeckerson,no,,Shopping,,,,
Jiffy,no,,Bills,,,,
K-way,no,,Shopping,,,,
Kaidor,no,,Shopping,,,,
Kanada Ya,no,,EatingOut,,,,
Kappa,no,,Shopping,,,,
Kartell,yes,,Shopping,,,,
Kasanova,no,,Shopping,,,,
Kauppa,yes,,Leisure,,,,
Keropetrol,no,,Transport,,,,
Kinkao,no,,,,,,
Kokka,no,,Shopping,,,,
Krizia,no,,Shopping,,,,
L'erbolario,no,,Shopping,,,,
L'isola verde,no,,Leisure,,,,
La bottega del caffe,yes,,Coffee,,,,
La Gardenia,yes,,Shopping,,,,
La Perla,no,,Shopping,,,,
La Piadineria,no,,Lunch,,,,
La Piccola Dely,no,,EatingOut,,,,
La Sportiva,no,,Shopping,,,,
Lagostina,no,,Shopping,,,,
Lama optical,no,,PersonalCare,,,,
Lamborghini,no,,Transport,,,,
Landi Renzo,no,,Transport,,,,
Landini,no,,Transport,,,,
Langham Hotel,no,,Travel,,,,
Lanieri,no,,Shopping,,,,
Laura Biagiotti,yes,,Shopping,,,,
Lavazza,no,,Coffee,,,,
Lazzaroni,no,,Groceries,,,,
Legami,no,,Shopping,,Stationary,,
Legea,yes,,Shopping,,,,
Limoni,yes,,Travel,,,,
Lindt,yes,,Groceries,,,,
Liu Jo,no,,Shopping,,,,
Liviana Conti,yes,,Shopping,,,,
Loacker,no,,Groceries,,,,
Loriblu,no,,Shopping,,,,
Loro Piana,no,,Shopping,,,,
Lovable,no,,Shopping,,,,
Lucchini RS,no,,Transport,,,,
Luisa Spagnoli,no,,Shopping,,,,
Luxottica,no,,PersonalCare,,,,
Macron,no,,Shopping,,,,
Maggiora,no,,Transport,,,,
Magneti Marelli,no,,Transport,,,,
Maire Tecnimont,no,,Bills,Housing,Utilities,,
Malaguti,no,,Transport,,,,
Malìparmi,no,,Shopping,,,,
Mandarina Duck,no,,Shopping,,,,
Mangano,no,,Shopping,,,,
MangoPay,no,,Bills,,,,
Marella,no,,Shopping,,,,
Marina Rinaldi,no,,Shopping,,,,
Marni,yes,,Shopping,,,,
Martini,no,,Drinks,,,,
Martino Midali,no,,Shopping,,,,
Marville,no,,Shopping,,,,
Maserati,no,,Transport,,,,
Match Point,no,,Expenses,,Gambling,,
Max Mara,yes,,Shopping,,,,
Maxi Sport,no,,Shopping,,,,
McAfee,no,,Expenses,,,,
MCS,yes,,Housing,,,,
Mediaset,yes,,Bills,Leisure,,,
Mediaworld,no,,Shopping,,,,
Melegatti,no,,Groceries,,,,
Melluso,no,,Shopping,,,,
Mercantile Hotel,no,,Travel,,,,
Mercatone uno,no,,Shopping,,,,
Messagenet,no,,Bills,,,,
MFM Investment Ltd,yes,,Investments,,,,
Miche,no,,Shopping,,,,
Miriade,no,,Shopping,,,,
Miss Sixty,no,,Shopping,,,,
Missoni,no,,Shopping,,,,
Miu Miu,no,,Shopping,,,,
Mixerì,no,,Shopping,,,,
Modus profumerie,yes,,Shopping,,,,
ModusLink,no,,Bills,,,,
Momo,yes,,Transport,,,,
Moncler,yes,,Shopping,,,,
Mondadori,yes,,Bills,,,,
