merchant_name,has_logo,impact,primary_category,secondary_category,other_categories,corrected_merchant_name,other_comments
Pagani,no,,Transport,,,,
Pal Zileri,yes,,Shopping,,,,
Pam,no,,Groceries,,,,
Parah,yes,,Shopping,,,,
Parfois,yes,,Shopping,,,,
PARK GUELL,no,,Leisure,,,,
Parmalat,yes,,Groceries,,,,
Partridges,no,,,,,,
Pastiglie Leone,no,,Groceries,,,,
Patrizia Pepe,no,,Shopping,,,,
Pavesi,no,,Groceries,,,,
Peccati di moda,no,,Shopping,,,,
Peck,yes,,Groceries,,,,
Pellizzari,no,,Shopping,,,,
Pennyblack,no,,Shopping,,,,
Perlini,no,,Transport,,,,
Pernigotti,no,,Groceries,,,,
Peroni,yes,,Drinks,,,,
Pershing Square,no,,Investments,,,,
Perugina,no,,Groceries,,,,
Peuterey,yes,,Shopping,,,,
Piaggio,yes,,Transport,,,,
Piazza Italia,no,,Shopping,,,,
Pininfarina,no,,Transport,,,,
Pinko,yes,,Shopping,,,,
Piquadro,yes,,Shopping,,,,
Pirelli,yes,,Transport,,,,
Pittarello,yes,,Shopping,,,,
Pittarosso,yes,,Shopping,,,,
Pizzaiolo,no,,EatingOut,,,,
Pocher,no,,Shopping,,,,
Polini,no,,Transport,,,,
Pollini,no,,Shopping,,,,
Pomellato,yes,,Shopping,,,,
Poste Italiane,no,,Bills,,,,
Pozzoli market,no,,Groceries,,,,
Prada,no,,Shopping,,,,
Primadonna,no,,Shopping,,,,
Prénatal,yes,,Shopping,,,,
Puma,no,,Shopping,,,,
Pupa,yes,,Shopping,,Beauty,,
Q8,yes,,Transport,,,,
QC Terme,no,,Leisure,,,,
Quintessence,no,,Shopping,,,,
Reggiane,no,,Transport,,,,
Replay,no,,Shopping,,,,
Repower,yes,,Bills,Housing,Utilities,,
Retitalia,no,,Transport,,,,
Rifle,yes,,Shopping,,,,
Rinascente,no,,Shopping,,,,
Rinascimento,no,,Shopping,,,,
Roadhouse,no,,EatingOut,,,,
Roberto Cavalli,no,,Shopping,,,,
Roncato,no,,Shopping,,,,
Roots,yes,,,,,,
Rossopomodoro,no,,EatingOut,,,,
Rovagnati,yes,,Groceries,,,,
Saipem,no,,Bills,Housing,Utilities,,
Salini Impregilo,no,,Other,,Construction,,
Sammontana,yes,,Groceries,,,,
Samsonite,yes,,Shopping,,,,
San Carlo,no,,Groceries,,,,
San Pellegrino,no,,Drinks,,,,
Sandro Ferrone,no,,Shopping,,,,
Sarabanda,no,,Shopping,,,,
Satispay,no,,Bills,,,,
Scarpe&Scarpe,no,,Shopping,,,,
Scavolini,no,,Housing,,,,
Segafredo,no,,Coffee,,,,
Selle Royal,no,,Transport,,,,
Semeraro,no,,Shopping,,,,
Servizio Elettrico Nazionale,yes,,Bills,Housing,Utilities,,
Shaka,no,,,,,,
Sharengo,no,,Transport,,,,
shutterstock,no,,Expenses,,,,
Shy,no,,Shopping,,,,
SIDI,yes,,Transport,,,,
Sigma,yes,,Other,,Construction,,
Signorvino,no,,EatingOut,,,,
Simply,yes,,Travel,,,,
Sisley,no,,Shopping,,Beauty,,
SIVI,no,,Transport,,,,
Skrill LTD,no,,Bills,,,,
SLAM,no,,Shopping,,,,
Smeg,no,,Shopping,,,,
Snam,no,,Bills,Housing,Utilities,,
Sorbino,yes,,Shopping,,,,
Sorgenia,yes,,Bills,Housing,Utilities,,
Sorin Group,no,,PersonalCare,,,,
Sottotono,no,,Shopping,,,,
Sperlari,no,,Groceries,,,,
Sport of Specialist,no,,Shopping,,,,
Sportland,no,,Shopping,,,,
Standa,no,,Shopping,,,,
Stazione Itala,no,,Transport,,,,
Stefanel,no,,Shopping,,,,
Studio Medico Aurora,no,,PersonalCare,,,,
Superga,no,,Shopping,,,,
Supermedia,no,,Bills,Housing,Utilities,,
Supermercato GS,no,,Groceries,,,,
Surf Style,yes,,Shopping,,,,
Tally Weijl,no,,Shopping,,,,
Taxi Dell'Orto,no,,Transport,,,,
Taxi LIC,no,,Transport,,,,
TaxiBlu,no,,Transport,,,,
Technogym,no,,PersonalCare,,Gym,,
Telecom Italia,no,,Bills,Housing,Utilities,,
Telepass,no,,Transport,,,,
Teletu,yes,,Bills,,,,
Terranova,yes,,Shopping,,,,
Thun,no,,Shopping,,,,
Tic Tac,no,,Groceries,,,,
Tigotá,no,,Shopping,,Beauty,,
Tigre,no,,Groceries,,,,
Tigros,yes,,Groceries,,,,
TIM,no,,Bills,,,,
Tirrenia,no,,Travel,,,,
Tosca Blu,yes,,Shopping,,,,
Total erg,yes,,Transport,,,,
Toys Center,yes,,Shopping,,,,
Trenitalia,yes,,Transport,,,,
Trenord,no,,Transport,,,,
Trenta,yes,,,,,,
Triumph,yes,,Transport,,,,
Trony,no,,Bills,,,,
Trudi,yes,,Shopping,,,,
Trussardi,no,,Shopping,,,,
Tucano Urbano,no,,Transport,,,,
Tuscany Leather,no,,Shopping,,,,
Twinset,yes,,Shopping,,,,
UCI Cinema,no,,Leisure,,,,
Unes,yes,,Groceries,,,,
Unieuro,no,,Shopping,,,,
UnipolSai Assicurazioni,no,,Bills,,Insurance,,
Università Bocconi,no,,Education,,,,
Università Cattolica,no,,Education,,,,
